Time,Boom_Top_Rel,Boom_Bottom_Rel,Bucket_X,Bucket_Y,Bucket_Z
0.5361,50.54999999998836,-39.25,0,0,0
0.5371,50.54999999998836,-4.25,0,0,0
0.5371,43.54999999998836,-29.25,0,0,0
0.5381,43.54999999998836,-29.25,0,0,0
0.5381,44.54999999998836,-40.25,0,0,0
0.5391,55.54999999998836,-40.25,0,0,0
0.5401,55.54999999998836,-63.25,0,0,0
0.5401,16.54999999998836,-63.25,0,0,0
0.5411,16.54999999998836,-44.25,0,0,0
0.5411,17.54999999998836,-44.25,0,0,0
0.5421,23.54999999998836,-37.25,0,0,0
0.5421,23.54999999998836,-37.25,0,0,0
0.5431,29.54999999998836,-34.25,0,0,0
0.5441,29.54999999998836,-21.25,0,0,0
0.5441,30.54999999998836,-21.25,0,0,0
0.5451,-10.450000000011642,-4.25,0,0,0
0.5451,-10.450000000011642,-4.25,0,0,0
0.5461,14.549999999988358,-28.25,0,0,0
0.5461,14.549999999988358,-28.25,0,0,0
0.5461,40.54999999998836,-37.25,0,0,0
0.5471,40.54999999998836,-37.25,0,0,0
0.5471,42.54999999998836,-29.25,0,0,0
0.5481,24.54999999998836,-29.25,0,0,0
0.5491,24.54999999998836,-42.25,0,0,0
0.5491,38.54999999998836,-56.25,0,0,0
0.5501,38.54999999998836,-56.25,0,0,0
0.5511,62.54999999998836,-46.25,0,0,0
0.5521,69.54999999998836,-46.25,0,0,0
0.5521,69.54999999998836,-41.25,0,0,0
0.5531,65.54999999998836,-41.25,0,0,0
0.5541,65.54999999998836,21.75,0,0,0
0.5541,62.54999999998836,21.75,0,0,0
0.5551,101.54999999998836,-36.25,0,0,0
0.5551,101.54999999998836,-36.25,0,0,0
0.5561,55.54999999998836,-91.25,0,0,0
0.5561,55.54999999998836,-30.25,0,0,0
0.5571,60.54999999998836,-30.25,0,0,0
0.5571,60.54999999998836,-46.25,0,0,0
0.5571,58.54999999998836,-46.25,0,0,0
0.5581,40.54999999998836,-44.25,0,0,0
0.5581,40.54999999998836,-44.25,0,0,0
0.5591,78.54999999998836,-57.25,0,0,0
0.5591,78.54999999998836,-57.25,0,0,0
0.5601,80.54999999998836,-72.25,0,0,0
0.5601,55.54999999998836,-72.25,0,0,0
0.5611,55.54999999998836,-83.25,0,0,0
0.5621,111.54999999998836,-97.25,0,0,0
0.5621,111.54999999998836,-97.25,0,0,0
0.5631,92.54999999998836,-81.25,0,0,0
0.5631,79.54999999998836,-81.25,0,0,0
0.5643,79.54999999998836,-109.25,0,0,0
0.5643,45.54999999998836,-109.25,0,0,0
0.5643,45.54999999998836,-100.25,0,0,0
0.5653,43.54999999998836,-100.25,0,0,0
0.5663,43.54999999998836,-63.25,0,0,0
0.5663,39.54999999998836,-63.25,0,0,0
0.5663,65.54999999998836,-96.25,0,0,0
0.5673,65.54999999998836,-113.25,0,0,0
0.5673,120.54999999998836,-113.25,0,0,0
0.5683,120.54999999998836,-96.25,0,0,0
0.5683,97.54999999998836,-96.25,0,0,0
0.5693,41.54999999998836,-109.25,0,0,0
0.5693,41.54999999998836,-109.25,0,0,0
0.5705,63.54999999998836,-116.25,0,0,0
0.5715,63.54999999998836,-116.25,0,0,0
0.5715,41.54999999998836,-93.25,0,0,0
0.5725,41.54999999998836,-93.25,0,0,0
0.5735,62.54999999998836,-87.25,0,0,0
0.5735,85.54999999998836,-77.25,0,0,0
0.5745,85.54999999998836,-77.25,0,0,0
0.5745,96.54999999998836,-116.25,0,0,0
0.5755,96.54999999998836,-116.25,0,0,0
0.5755,104.54999999998836,-110.25,0,0,0
0.5755,122.54999999998836,-110.25,0,0,0
0.5765,122.54999999998836,-116.25,0,0,0
0.6175,87.54999999998836,-116.25,0,0,0
1.4405,87.54999999998836,-88.25,0,0,0
1.4405,85.54999999998836,-88.25,0,0,0
