Time,Boom_Bottom_Rel(S1),Boom_Top_Rel(S2),Bucket_X,Bucket_Y,Bucket_Z
0.3606,30.60000000000582,79.64999999990687,0,0,0
0.3606,30.60000000000582,-97.35000000009313,0,0,0
0.3616,5.600000000005821,78.64999999990687,0,0,0
0.3626,5.600000000005821,78.64999999990687,0,0,0
0.3626,61.60000000000582,-123.35000000009313,0,0,0
0.3636,27.60000000000582,-123.35000000009313,0,0,0
0.3646,27.60000000000582,16.649999999906868,0,0,0
0.3646,88.60000000000582,16.649999999906868,0,0,0
0.3646,88.60000000000582,-75.35000000009313,0,0,0
0.3656,85.60000000000582,-75.35000000009313,0,0,0
0.3656,66.60000000000582,22.649999999906868,0,0,0
0.3666,66.60000000000582,22.649999999906868,0,0,0
0.3666,71.60000000000582,-81.35000000009313,0,0,0
0.3676,71.60000000000582,-41.35000000009313,0,0,0
0.3676,55.60000000000582,-41.35000000009313,0,0,0
0.3686,90.60000000000582,-150.35000000009313,0,0,0
0.3686,90.60000000000582,-150.35000000009313,0,0,0
0.3696,46.60000000000582,-17.350000000093132,0,0,0
0.3696,46.60000000000582,-17.350000000093132,0,0,0
0.3696,77.60000000000582,-84.35000000009313,0,0,0
0.3706,77.60000000000582,-84.35000000009313,0,0,0
0.3706,73.60000000000582,-16.350000000093132,0,0,0
0.3716,103.60000000000582,-16.350000000093132,0,0,0
0.3716,103.60000000000582,-89.35000000009313,0,0,0
0.3726,61.60000000000582,-18.350000000093132,0,0,0
0.3736,61.60000000000582,-18.350000000093132,0,0,0
0.3746,143.60000000000582,-52.35000000009313,0,0,0
0.3746,80.60000000000582,-52.35000000009313,0,0,0
0.3756,80.60000000000582,-48.35000000009313,0,0,0
0.3766,61.60000000000582,-48.35000000009313,0,0,0
0.3766,61.60000000000582,-121.35000000009313,0,0,0
0.3776,24.60000000000582,-121.35000000009313,0,0,0
0.3776,24.60000000000582,-21.350000000093132,0,0,0
0.3776,87.60000000000582,-21.350000000093132,0,0,0
0.3786,29.60000000000582,-38.35000000009313,0,0,0
0.3786,29.60000000000582,52.64999999990687,0,0,0
0.3799,53.60000000000582,52.64999999990687,0,0,0
0.3799,53.60000000000582,-26.350000000093132,0,0,0
0.3809,82.60000000000582,-26.350000000093132,0,0,0
0.3819,67.60000000000582,-3.3500000000931323,0,0,0
0.3819,67.60000000000582,-3.3500000000931323,0,0,0
0.3833,49.60000000000582,77.64999999990687,0,0,0
0.3839,49.60000000000582,77.64999999990687,0,0,0
0.3849,86.60000000000582,-82.35000000009313,0,0,0
0.3854,83.60000000000582,-82.35000000009313,0,0,0
0.3854,83.60000000000582,-14.350000000093132,0,0,0
0.3865,127.60000000000582,-59.35000000009313,0,0,0
0.3875,127.60000000000582,-59.35000000009313,0,0,0
0.3875,83.60000000000582,15.649999999906868,0,0,0
0.3885,83.60000000000582,15.649999999906868,0,0,0
0.3885,146.60000000000582,-116.35000000009313,0,0,0
0.3895,124.60000000000582,-116.35000000009313,0,0,0
0.3895,124.60000000000582,-116.35000000009313,0,0,0
0.3905,153.60000000000582,-116.35000000009313,0,0,0
0.3905,153.60000000000582,-57.35000000009313,0,0,0
0.3915,-20.39999999999418,-57.35000000009313,0,0,0
0.3915,77.60000000000582,-52.35000000009313,0,0,0
0.3925,77.60000000000582,-119.35000000009313,0,0,0
0.3925,-39.39999999999418,-119.35000000009313,0,0,0
0.3925,-39.39999999999418,-79.35000000009313,0,0,0
0.3935,110.60000000000582,-79.35000000009313,0,0,0
0.3935,-0.39999999999417923,-37.35000000009313,0,0,0
0.3945,-0.39999999999417923,-37.35000000009313,0,0,0
0.3945,128.60000000000582,-70.35000000009313,0,0,0
