Time,Boom_Top_Rel,Boom_Bottom_Rel,Bucket_X,Bucket_Y,Bucket_Z
0.347,-3.6000000000058208,58.700000000186265,0,0,0
0.348,-3.6000000000058208,32.700000000186265,0,0,0
0.3488,17.39999999999418,35.700000000186265,0,0,0
0.3488,17.39999999999418,35.700000000186265,0,0,0
0.3498,4.399999999994179,2.7000000001862645,0,0,0
0.3508,-23.60000000000582,2.7000000001862645,0,0,0
0.3508,-23.60000000000582,27.700000000186265,0,0,0
0.3518,7.399999999994179,27.700000000186265,0,0,0
0.3518,7.399999999994179,-22.299999999813735,0,0,0
0.3528,22.39999999999418,-22.299999999813735,0,0,0
0.3538,40.39999999999418,9.700000000186265,0,0,0
0.3538,40.39999999999418,9.700000000186265,0,0,0
0.3548,39.39999999999418,50.700000000186265,0,0,0
0.3548,39.39999999999418,56.700000000186265,0,0,0
0.3558,10.39999999999418,56.700000000186265,0,0,0
0.3558,34.39999999999418,34.700000000186265,0,0,0
0.3568,34.39999999999418,34.700000000186265,0,0,0
0.3568,42.39999999999418,25.700000000186265,0,0,0
0.3578,42.39999999999418,25.700000000186265,0,0,0
0.3578,16.39999999999418,23.700000000186265,0,0,0
0.359,16.39999999999418,23.700000000186265,0,0,0
0.3597,61.39999999999418,11.700000000186265,0,0,0
0.3597,96.39999999999418,11.700000000186265,0,0,0
0.3607,96.39999999999418,-37.299999999813735,0,0,0
0.3617,50.39999999999418,-6.2999999998137355,0,0,0
0.3617,50.39999999999418,-6.2999999998137355,0,0,0
0.3634,70.39999999999418,17.700000000186265,0,0,0
0.3644,73.39999999999418,17.700000000186265,0,0,0
0.3644,73.39999999999418,-18.299999999813735,0,0,0
0.3644,77.39999999999418,-18.299999999813735,0,0,0
0.3664,77.39999999999418,-32.299999999813735,0,0,0
0.3664,114.39999999999418,-32.299999999813735,0,0,0
0.3674,75.39999999999418,-45.299999999813735,0,0,0
0.3684,75.39999999999418,-45.299999999813735,0,0,0
0.3684,39.39999999999418,-31.299999999813735,0,0,0
0.3694,39.39999999999418,-26.299999999813735,0,0,0
0.3694,90.39999999999418,-26.299999999813735,0,0,0
0.3704,90.39999999999418,3.7000000001862645,0,0,0
0.3714,72.39999999999418,3.7000000001862645,0,0,0
0.3714,70.39999999999418,6.7000000001862645,0,0,0
0.3724,70.39999999999418,6.7000000001862645,0,0,0
0.3724,46.39999999999418,4.7000000001862645,0,0,0
0.3734,46.39999999999418,4.7000000001862645,0,0,0
0.3734,52.39999999999418,47.700000000186265,0,0,0
0.3747,43.39999999999418,47.700000000186265,0,0,0
0.3757,43.39999999999418,19.700000000186265,0,0,0
0.3757,65.39999999999418,-45.299999999813735,0,0,0
0.3767,65.39999999999418,-45.299999999813735,0,0,0
0.3767,122.39999999999418,-65.29999999981374,0,0,0
