Time,Boom_Bottom_Rel(S1),Boom_Top_Rel(S2),Bucket_X,Bucket_Y,Bucket_Z
0.3558,77.14999999999418,4.5,0,0,0
0.3568,77.14999999999418,-34.5,0,0,0
0.3573,86.14999999999418,-52.5,0,0,0
0.3583,86.14999999999418,-52.5,0,0,0
0.3593,136.14999999999418,-19.5,0,0,0
0.3593,110.14999999999418,-19.5,0,0,0
0.3603,110.14999999999418,-47.5,0,0,0
0.3603,96.14999999999418,-47.5,0,0,0
0.3613,96.14999999999418,-32.5,0,0,0
0.3623,84.14999999999418,-32.5,0,0,0
0.3623,62.14999999999418,-22.5,0,0,0
0.3633,62.14999999999418,-22.5,0,0,0
0.3643,88.14999999999418,-39.5,0,0,0
0.3643,88.14999999999418,-35.5,0,0,0
0.3653,56.14999999999418,-35.5,0,0,0
0.3663,65.14999999999418,14.5,0,0,0
0.3673,65.14999999999418,14.5,0,0,0
0.3673,86.14999999999418,-4.5,0,0,0
0.3683,86.14999999999418,-4.5,0,0,0
0.3683,130.14999999999418,-26.5,0,0,0
0.3693,130.14999999999418,-26.5,0,0,0
0.3703,104.14999999999418,-29.5,0,0,0
0.3703,91.14999999999418,-29.5,0,0,0
0.3713,91.14999999999418,-47.5,0,0,0
0.3723,115.14999999999418,-28.5,0,0,0
0.3723,115.14999999999418,-28.5,0,0,0
0.3733,137.14999999999418,-29.5,0,0,0
0.3743,118.14999999999418,-29.5,0,0,0
0.3743,118.14999999999418,-57.5,0,0,0
0.3753,103.14999999999418,-57.5,0,0,0
0.3753,103.14999999999418,-98.5,0,0,0
0.3763,51.14999999999418,-98.5,0,0,0
0.3773,95.14999999999418,-89.5,0,0,0
0.3773,95.14999999999418,-89.5,0,0,0
0.3783,138.14999999999418,-65.5,0,0,0
0.3793,138.14999999999418,-88.5,0,0,0
0.3793,110.14999999999418,-88.5,0,0,0
0.3803,110.14999999999418,-41.5,0,0,0
0.3813,138.14999999999418,-41.5,0,0,0
0.3813,154.14999999999418,-65.5,0,0,0
0.3823,154.14999999999418,-65.5,0,0,0
0.3823,128.14999999999418,-44.5,0,0,0
0.3833,128.14999999999418,-44.5,0,0,0
0.3843,141.14999999999418,-9.5,0,0,0
0.3843,153.14999999999418,-9.5,0,0,0
0.3853,153.14999999999418,-92.5,0,0,0
0.3863,97.14999999999418,-72.5,0,0,0
0.3863,97.14999999999418,-72.5,0,0,0
0.3873,60.14999999999418,-7.5,0,0,0
0.3873,60.14999999999418,-7.5,0,0,0
0.3883,73.14999999999418,-3.5,0,0,0
0.3893,110.14999999999418,-3.5,0,0,0
0.3893,110.14999999999418,-1.5,0,0,0
0.3903,139.14999999999418,-1.5,0,0,0
0.3903,139.14999999999418,-7.5,0,0,0
0.3913,118.14999999999418,-7.5,0,0,0
0.3923,123.14999999999418,-50.5,0,0,0
0.3923,123.14999999999418,-71.5,0,0,0
0.3933,121.14999999999418,-71.5,0,0,0
0.3933,121.14999999999418,-42.5,0,0,0
0.3943,130.14999999999418,-42.5,0,0,0
0.3953,99.14999999999418,9.5,0,0,0
0.3953,99.14999999999418,9.5,0,0,0
0.3963,119.14999999999418,-41.5,0,0,0
0.3963,119.14999999999418,-41.5,0,0,0
0.3973,97.14999999999418,-48.5,0,0,0
1.2158,97.14999999999418,-48.5,0,0,0
1.2158,126.14999999999418,-45.5,0,0,0
1.2168,189.14999999999418,-92.5,0,0,0
1.2168,189.14999999999418,-92.5,0,0,0
1.2178,168.14999999999418,-60.5,0,0,0
1.2178,168.14999999999418,-60.5,0,0,0
1.2188,159.14999999999418,-1.5,0,0,0
1.2188,153.14999999999418,-1.5,0,0,0
1.2198,153.14999999999418,50.5,0,0,0
1.2198,158.14999999999418,50.5,0,0,0
1.2208,158.14999999999418,26.5,0,0,0
1.2208,152.14999999999418,26.5,0,0,0
1.2208,224.14999999999418,-37.5,0,0,0
1.2218,224.14999999999418,-50.5,0,0,0
1.2228,194.14999999999418,-50.5,0,0,0
1.2238,194.14999999999418,-28.5,0,0,0
1.437,153.14999999999418,-28.5,0,0,0
1.437,153.14999999999418,-1.5,0,0,0
1.437,127.14999999999418,-1.5,0,0,0
1.438,127.14999999999418,-33.5,0,0,0
1.4457,127.14999999999418,-33.5,0,0,0
1.6491,157.14999999999418,-64.5,0,0,0
1.6501,157.14999999999418,-64.5,0,0,0
1.6501,148.14999999999418,-61.5,0,0,0
1.6501,135.14999999999418,-50.5,0,0,0
1.7009,135.14999999999418,-50.5,0,0,0
1.868,136.14999999999418,-32.5,0,0,0
1.869,136.14999999999418,-32.5,0,0,0
1.8696,141.14999999999418,-31.5,0,0,0
1.9055,155.14999999999418,-31.5,0,0,0
2.0576,155.14999999999418,-60.5,0,0,0
2.0586,167.14999999999418,-60.5,0,0,0
2.0596,167.14999999999418,-9.5,0,0,0
2.1111,144.14999999999418,-9.5,0,0,0
2.3179,144.14999999999418,-55.5,0,0,0
2.3179,173.14999999999418,-62.5,0,0,0
2.3189,198.14999999999418,-62.5,0,0,0
2.3189,198.14999999999418,-59.5,0,0,0
2.568,236.14999999999418,-59.5,0,0,0
2.568,236.14999999999418,-31.5,0,0,0
2.569,224.14999999999418,-31.5,0,0,0
2.569,187.14999999999418,14.5,0,0,0
2.578,187.14999999999418,14.5,0,0,0
2.7776,173.14999999999418,-21.5,0,0,0
2.7776,173.14999999999418,-21.5,0,0,0
2.7776,161.14999999999418,-30.5,0,0,0
2.7786,205.14999999999418,-53.5,0,0,0
2.8328,205.14999999999418,-53.5,0,0,0
3.0149,166.14999999999418,-28.5,0,0,0
3.016,166.14999999999418,-28.5,0,0,0
3.016,158.14999999999418,-15.5,0,0,0
3.0368,158.14999999999418,-15.5,0,0,0
3.2371,187.14999999999418,12.5,0,0,0
3.2381,174.14999999999418,12.5,0,0,0
3.2391,174.14999999999418,-32.5,0,0,0
3.2391,175.14999999999418,-87.5,0,0,0
3.442,175.14999999999418,-87.5,0,0,0
3.442,213.14999999999418,-96.5,0,0,0
3.442,202.14999999999418,-96.5,0,0,0
3.443,202.14999999999418,-94.5,0,0,0
3.6487,239.14999999999418,-94.5,0,0,0
3.6487,239.14999999999418,-64.5,0,0,0
3.6496,215.14999999999418,-64.5,0,0,0
3.6496,233.14999999999418,-43.5,0,0,0
3.869,233.14999999999418,-43.5,0,0,0
3.87,202.14999999999418,-70.5,0,0,0
3.87,202.14999999999418,-41.5,0,0,0
3.8714,185.14999999999418,-41.5,0,0,0
3.9156,185.14999999999418,-52.5,0,0,0
4.1058,169.14999999999418,-52.5,0,0,0
4.1063,148.14999999999418,-36.5,0,0,0
4.1073,148.14999999999418,-36.5,0,0,0
4.1171,189.14999999999418,-22.5,0,0,0
