Time,Sensor1_Rel,Sensor2_Rel
1.3344,124.59999999997672,-32.450000000186265
1.3354,124.59999999997672,-20.450000000186265
1.3354,117.59999999997672,-36.450000000186265
1.3364,117.59999999997672,-36.450000000186265
1.3364,137.59999999997672,-46.450000000186265
1.3364,134.59999999997672,-46.450000000186265
1.3374,134.59999999997672,-45.450000000186265
1.3374,97.59999999997672,-45.450000000186265
1.3374,97.59999999997672,-44.450000000186265
1.3384,125.59999999997672,-44.450000000186265
1.3384,148.59999999997672,-76.45000000018626
1.3394,148.59999999997672,-76.45000000018626
1.3394,101.59999999997672,-67.45000000018626
1.3494,101.59999999997672,-55.450000000186265
1.4047,159.59999999997672,-55.450000000186265
1.4509,219.59999999997672,-35.450000000186265
1.6246,219.59999999997672,-35.450000000186265
1.6246,193.59999999997672,-48.450000000186265
1.6256,193.59999999997672,-48.450000000186265
1.6566,186.59999999997672,-40.450000000186265
1.7051,186.59999999997672,-40.450000000186265
1.9192,214.59999999997672,-46.450000000186265
1.9192,194.59999999997672,-46.450000000186265
1.9202,194.59999999997672,-14.450000000186265
1.9202,211.59999999997672,14.549999999813735
1.9635,211.59999999997672,14.549999999813735
2.0126,241.59999999997672,-23.450000000186265
2.2055,233.59999999997672,-23.450000000186265
2.2055,233.59999999997672,-44.450000000186265
2.2065,210.59999999997672,-44.450000000186265
2.2178,210.59999999997672,-68.45000000018626
2.4372,209.59999999997672,-68.45000000018626
2.4372,242.59999999997672,-85.45000000018626
2.4382,242.59999999997672,-85.45000000018626
2.4382,242.59999999997672,-107.45000000018626
2.4752,242.59999999997672,-55.450000000186265
2.6672,228.59999999997672,-55.450000000186265
2.6672,228.59999999997672,-87.45000000018626
2.6686,221.59999999997672,-87.45000000018626
2.6806,229.59999999997672,-95.45000000018626
2.9017,229.59999999997672,-95.45000000018626
2.9017,228.59999999997672,-50.450000000186265
2.9027,228.59999999997672,-50.450000000186265
2.9027,236.59999999997672,-43.450000000186265
2.9347,260.5999999999767,-96.45000000018626
3.1371,260.5999999999767,-96.45000000018626
3.1381,268.5999999999767,-91.45000000018626
3.1381,268.5999999999767,-91.45000000018626
3.1391,317.5999999999767,-108.45000000018626
3.1986,313.5999999999767,-108.45000000018626
3.2411,313.5999999999767,-88.45000000018626
3.2949,458.5999999999767,-88.45000000018626
3.4942,458.5999999999767,1138.5499999998137
3.4952,1132.5999999999767,1138.5499999998137
3.4952,1132.5999999999767,7909.549999999814
3.4992,70.59999999997672,11016.549999999814
3.5492,260.5999999999767,11016.549999999814
3.7852,260.5999999999767,10352.549999999814
3.7862,-11.400000000023283,10352.549999999814
3.7862,-11.400000000023283,11674.549999999814
3.7862,85.59999999997672,11674.549999999814
3.8067,257.5999999999767,11823.549999999814
4.0217,257.5999999999767,11823.549999999814
4.0228,454.5999999999767,10781.549999999814
4.0228,454.5999999999767,10781.549999999814
4.0238,300.5999999999767,10613.549999999814
4.064,381.5999999999767,11808.549999999814
4.1135,381.5999999999767,11808.549999999814
4.1667,559.5999999999767,11838.549999999814
4.2167,559.5999999999767,11838.549999999814
4.2695,444.5999999999767,11005.549999999814
4.491,444.5999999999767,11005.549999999814
4.491,-1270.4000000000233,10032.549999999814
4.4921,-1122.4000000000233,10032.549999999814
4.4921,-1122.4000000000233,8467.549999999814
4.524,-84.40000000002328,8467.549999999814
4.5769,-84.40000000002328,7044.549999999814
4.6268,-46.40000000002328,5895.549999999814
4.8495,74.59999999997672,5895.549999999814
4.8506,74.59999999997672,6480.549999999814
4.8506,564.5999999999767,6480.549999999814
4.8506,564.5999999999767,6303.549999999814
4.8838,716.5999999999767,6303.549999999814
4.9335,1050.5999999999767,5575.549999999814
5.143,1050.5999999999767,5575.549999999814
5.143,1252.5999999999767,6069.549999999814
5.144,1252.5999999999767,6069.549999999814
5.144,1551.5999999999767,5791.549999999814
5.1911,1551.5999999999767,5277.549999999814
5.2407,1681.5999999999767,5277.549999999814
5.2934,1920.5999999999767,5408.549999999814
5.501,1920.5999999999767,5408.549999999814
5.5019,2060.5999999999767,5339.549999999814
5.5019,2060.5999999999767,5339.549999999814
5.5029,2361.5999999999767,4917.549999999814
5.5479,2472.5999999999767,4917.549999999814
5.7469,2472.5999999999767,4879.549999999814
5.7479,2640.5999999999767,4879.549999999814
5.7479,2640.5999999999767,4863.549999999814
5.7519,2878.5999999999767,4660.549999999814
5.8067,3117.5999999999767,4660.549999999814
5.8558,3117.5999999999767,4463.549999999814
5.9078,3231.5999999999767,4463.549999999814
5.9577,3231.5999999999767,4351.549999999814
6.0105,3406.5999999999767,4351.549999999814
6.0596,3406.5999999999767,4285.549999999814
6.1131,3609.5999999999767,4285.549999999814
6.1616,3862.5999999999767,4139.549999999814
6.2157,3862.5999999999767,3960.5499999998137
6.2723,4080.5999999999767,3960.5499999998137
6.3176,4080.5999999999767,3851.5499999998137
6.5104,4284.599999999977,3851.5499999998137
6.5104,4552.599999999977,3878.5499999998137
6.5114,4552.599999999977,3878.5499999998137
6.5224,4774.599999999977,3657.5499999998137
6.571,4774.599999999977,3657.5499999998137
6.8132,4967.599999999977,3438.5499999998137
6.8132,5066.599999999977,3438.5499999998137
6.8142,5066.599999999977,3569.5499999998137
6.8142,5326.599999999977,3293.5499999998137
6.8302,5326.599999999977,3293.5499999998137
6.8788,5384.599999999977,3307.5499999998137
6.9323,5384.599999999977,3307.5499999998137
6.9813,5573.599999999977,3160.5499999998137
7.1714,5752.599999999977,3160.5499999998137
7.1714,5752.599999999977,2954.5499999998137
7.1724,6031.599999999977,2954.5499999998137
7.1896,6031.599999999977,2938.5499999998137
7.2394,6167.599999999977,2938.5499999998137
7.292,6362.599999999977,2771.5499999998137
7.5255,6362.599999999977,2732.5499999998137
7.5255,6435.599999999977,2732.5499999998137
7.5265,6435.599999999977,2605.5499999998137
7.5265,6486.599999999977,2605.5499999998137
7.5464,6660.599999999977,2565.5499999998137
7.5995,6660.599999999977,2565.5499999998137
7.6489,6847.599999999977,2576.5499999998137
7.8705,6847.599999999977,2576.5499999998137
7.8715,6469.599999999977,413.54999999981374
7.8715,6868.599999999977,413.54999999981374
