epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1132.99,0.60048,0.74983,0.9568,0.99443,1,0.995,0.86367,0.585,0.91456,0.95252,0.0011288,0.0011288,0.0011288
46,1167.82,0.76344,0.84898,1.07172,0.99443,1,0.995,0.86367,0.585,0.91456,0.95252,0.001109,0.001109,0.001109
47,1202.3,0.76874,0.83718,1.08777,0.99448,1,0.995,0.87929,0.54941,0.83711,0.93419,0.0010892,0.0010892,0.0010892
48,1230.92,0.74066,0.72264,1.03496,0.99448,1,0.995,0.87929,0.54941,0.83711,0.93419,0.0010694,0.0010694,0.0010694
49,1255.27,0.66498,0.70931,1.02151,0.99507,1,0.995,0.87778,0.53372,0.78696,0.93559,0.0010496,0.0010496,0.0010496
50,1279.46,0.66448,0.78669,1.02832,0.99507,1,0.995,0.87778,0.53372,0.78696,0.93559,0.0010298,0.0010298,0.0010298
51,1302.49,0.61596,0.73229,0.97781,0.99497,1,0.995,0.89557,0.49813,0.79441,0.91423,0.00101,0.00101,0.00101
52,1324.97,0.71069,0.69772,0.98644,0.99497,1,0.995,0.89557,0.49813,0.79441,0.91423,0.0009902,0.0009902,0.0009902
53,1350.83,0.64128,0.68973,0.99582,0.99462,1,0.995,0.88765,0.49615,0.85706,0.90532,0.0009704,0.0009704,0.0009704
54,1373.67,0.63461,0.70238,0.98581,0.99462,1,0.995,0.88765,0.49615,0.85706,0.90532,0.0009506,0.0009506,0.0009506
55,1396.43,0.72024,0.79744,1.02035,0.99463,1,0.995,0.88963,0.47699,0.80765,0.88898,0.0009308,0.0009308,0.0009308
56,1419.6,0.65116,0.7038,1.02286,0.99463,1,0.995,0.88963,0.47699,0.80765,0.88898,0.000911,0.000911,0.000911
57,1442.75,0.62112,0.71039,1.04081,0.99561,1,0.995,0.88713,0.46418,0.74463,0.89095,0.0008912,0.0008912,0.0008912
58,1466.05,0.68999,0.74408,1.05738,0.99561,1,0.995,0.88713,0.46418,0.74463,0.89095,0.0008714,0.0008714,0.0008714
59,1488.64,0.69839,0.65029,1.01517,0.99595,1,0.995,0.88832,0.47531,0.72626,0.90251,0.0008516,0.0008516,0.0008516
60,1511.13,0.74194,0.67764,1.02737,0.99595,1,0.995,0.88832,0.47531,0.72626,0.90251,0.0008318,0.0008318,0.0008318
61,1533.93,0.61591,0.66061,1.00156,0.9959,1,0.995,0.89524,0.44972,0.71925,0.88801,0.000812,0.000812,0.000812
62,1557.07,0.63271,0.66777,1.02389,0.9959,1,0.995,0.89524,0.44972,0.71925,0.88801,0.0007922,0.0007922,0.0007922
63,1579.77,0.64182,0.67324,1.03195,0.99582,1,0.995,0.90024,0.50113,0.76079,0.90172,0.0007724,0.0007724,0.0007724
64,1602.66,0.6512,0.65759,1.01642,0.99582,1,0.995,0.90024,0.50113,0.76079,0.90172,0.0007526,0.0007526,0.0007526
65,1625.49,0.59448,0.60851,1.00954,0.99587,1,0.995,0.89344,0.50827,0.7275,0.90136,0.0007328,0.0007328,0.0007328
66,1653.57,0.66915,0.65219,1.02615,0.99587,1,0.995,0.89344,0.50827,0.7275,0.90136,0.000713,0.000713,0.000713
67,1688.44,0.64349,0.64348,0.98881,0.99583,1,0.995,0.90196,0.48528,0.71801,0.88373,0.0006932,0.0006932,0.0006932
68,1710.72,0.68583,0.7121,1.04495,0.99583,1,0.995,0.90196,0.48528,0.71801,0.88373,0.0006734,0.0006734,0.0006734
69,1733.91,0.63311,0.66367,1.00479,0.99587,1,0.995,0.89318,0.48384,0.68905,0.87928,0.0006536,0.0006536,0.0006536
70,1756.6,0.69507,0.641,1.01827,0.99587,1,0.995,0.89318,0.48384,0.68905,0.87928,0.0006338,0.0006338,0.0006338
71,1779.05,0.71925,0.7151,1.04481,0.99598,1,0.995,0.87674,0.47892,0.66888,0.88268,0.000614,0.000614,0.000614
72,1801.42,0.62066,0.62908,0.9779,0.99598,1,0.995,0.87674,0.47892,0.66888,0.88268,0.0005942,0.0005942,0.0005942
73,1823.84,0.69137,0.7477,1.01986,0.99607,1,0.995,0.88484,0.49424,0.6679,0.89546,0.0005744,0.0005744,0.0005744
74,1847.44,0.59759,0.66094,1.00895,0.99607,1,0.995,0.88484,0.49424,0.6679,0.89546,0.0005546,0.0005546,0.0005546
75,1870.77,0.65666,0.6903,1.03355,0.9959,1,0.995,0.88751,0.51675,0.66742,0.91168,0.0005348,0.0005348,0.0005348
76,1893.54,0.635,0.64236,1.02141,0.9959,1,0.995,0.88751,0.51675,0.66742,0.91168,0.000515,0.000515,0.000515
77,1918.22,0.67421,0.66714,1.0516,0.9958,1,0.995,0.90247,0.5087,0.67478,0.91029,0.0004952,0.0004952,0.0004952
78,1941.6,0.63414,0.68823,1.01369,0.9958,1,0.995,0.90247,0.5087,0.67478,0.91029,0.0004754,0.0004754,0.0004754
79,1964.45,0.58862,0.62272,0.96984,0.99576,1,0.995,0.89837,0.48907,0.67417,0.89565,0.0004556,0.0004556,0.0004556
80,1987.31,0.55497,0.66083,0.93742,0.99576,1,0.995,0.89837,0.48907,0.67417,0.89565,0.0004358,0.0004358,0.0004358
81,2010.41,0.74423,0.76211,1.06654,0.99581,1,0.995,0.90982,0.47016,0.66214,0.87871,0.000416,0.000416,0.000416
82,2032.93,0.64035,0.64322,0.98176,0.99581,1,0.995,0.90982,0.47016,0.66214,0.87871,0.0003962,0.0003962,0.0003962
83,2055.99,0.56725,0.61618,0.96121,0.99594,1,0.995,0.90266,0.45499,0.6456,0.87189,0.0003764,0.0003764,0.0003764
84,2079.42,0.59767,0.63943,0.98142,0.99594,1,0.995,0.90266,0.45499,0.6456,0.87189,0.0003566,0.0003566,0.0003566
85,2102.33,0.58302,0.59771,0.99065,0.99579,1,0.995,0.90086,0.43399,0.63912,0.8658,0.0003368,0.0003368,0.0003368
86,2126.07,0.60205,0.60778,0.95386,0.99579,1,0.995,0.90086,0.43399,0.63912,0.8658,0.000317,0.000317,0.000317
87,2149.13,0.58677,0.59324,0.98267,0.99579,1,0.995,0.91757,0.43494,0.64572,0.86662,0.0002972,0.0002972,0.0002972
88,2172.74,0.6191,0.6595,1.01087,0.99579,1,0.995,0.91757,0.43494,0.64572,0.86662,0.0002774,0.0002774,0.0002774
89,2196.24,0.55367,0.5592,0.94203,0.99585,1,0.995,0.90581,0.4368,0.63313,0.869,0.0002576,0.0002576,0.0002576
90,2219.82,0.47463,0.52561,0.94394,0.99585,1,0.995,0.90581,0.4368,0.63313,0.869,0.0002378,0.0002378,0.0002378
91,2243.29,0.43612,0.75739,0.91726,0.99591,1,0.995,0.90427,0.42534,0.6264,0.86536,0.000218,0.000218,0.000218
92,2266.66,0.46721,0.72711,0.95306,0.99591,1,0.995,0.90427,0.42534,0.6264,0.86536,0.0001982,0.0001982,0.0001982
93,2289.89,0.45852,0.74999,0.90935,0.99604,1,0.995,0.92536,0.40806,0.62161,0.85749,0.0001784,0.0001784,0.0001784
94,2312.96,0.39397,0.72413,0.83861,0.99604,1,0.995,0.92536,0.40806,0.62161,0.85749,0.0001586,0.0001586,0.0001586
95,2336.85,0.44495,0.72014,0.89944,0.99605,1,0.995,0.91848,0.39164,0.62153,0.84929,0.0001388,0.0001388,0.0001388
96,2359.66,0.43184,0.71217,0.87879,0.99605,1,0.995,0.91848,0.39164,0.62153,0.84929,0.000119,0.000119,0.000119
97,2382.96,0.44661,0.71843,0.92653,0.99601,1,0.995,0.93633,0.38564,0.6256,0.84419,9.92e-05,9.92e-05,9.92e-05
98,2405.63,0.39365,0.68692,0.86332,0.99601,1,0.995,0.93633,0.38564,0.6256,0.84419,7.94e-05,7.94e-05,7.94e-05
99,2428.72,0.4251,0.73365,0.89516,0.996,1,0.995,0.9304,0.3822,0.63324,0.84141,5.96e-05,5.96e-05,5.96e-05
100,2451.65,0.4096,0.70469,0.87711,0.996,1,0.995,0.9304,0.3822,0.63324,0.84141,3.98e-05,3.98e-05,3.98e-05
